country_num,wave_chron,wave_year,agp_score,p10yr_mean,p10yr_median,p10yr_lo95,p10yr_hi95,p10yr_lo80,p10yr_hi80,n_sim
704.0,7.0,2019.0,1.839236426719684,0.5491743817094447,0.5495353588070324,0.3805741976836313,0.7128272775756435,0.44127299412373083,0.6569723321876159,2500
368.0,7.0,2019.0,1.7926610694889609,0.5378986737073712,0.5381664552401444,0.377573176859329,0.6979430869594209,0.43395824175184,0.643270358253326,2500
608.0,7.0,2019.0,1.7589264102832665,0.5332680082766464,0.5363663088244575,0.3680289322970572,0.6843590824810656,0.42494514068769107,0.6382683450566405,2500
710.0,6.0,2013.0,1.755480464476958,0.5327773206159212,0.5316583005594908,0.37749090455136103,0.6964066614411097,0.4297292479930609,0.6366314963471007,2500
764.0,7.0,2019.0,1.5761161825606544,0.4970619595960881,0.49448737130005643,0.3561372187050821,0.6479967898595551,0.3999802602603812,0.5938538584237034,2500
860.0,7.0,2019.0,1.5418478976443002,0.4926654200691443,0.49119756761996225,0.3529665573580648,0.6362372542840538,0.3993862384129933,0.5896692880567672,2500
222.0,3.0,1997.0,1.4296752199221314,0.4733331874729656,0.4720174728428638,0.3531441231348792,0.6118283916346064,0.38635317955035764,0.5607504443790686,2500
104.0,7.0,2019.0,1.3373161766773884,0.4546366848030524,0.45339216081513484,0.33606915557872236,0.5842258144943014,0.37306488124256676,0.5364988739688129,2500
417.0,7.0,2019.0,1.302103775550324,0.444212958446742,0.44172394188278963,0.3278049634634325,0.5731307656811605,0.36824801697296194,0.5265295177210157,2500
762.0,7.0,2019.0,1.272043017529762,0.43861188596286577,0.4382633263435702,0.32239507230438164,0.5590064482888681,0.3610186749656659,0.5131784291499099,2500
51.0,7.0,2019.0,1.2534410834855634,0.4367110978011147,0.4345602913955246,0.3254320059268021,0.5536378316055004,0.36270728282735964,0.514435305313171,2500
496.0,7.0,2019.0,1.2358941734128912,0.4347663557283129,0.4331233534950936,0.3252692280290908,0.5492489692872874,0.3594845704428122,0.5102469887999203,2500
484.0,7.0,2019.0,1.211824674652184,0.4310680112803606,0.42907347052822203,0.3269402660639028,0.5507379728006355,0.3597394197716262,0.5051227511342419,2500
466.0,5.0,2007.0,1.2036671171825333,0.42904267663694645,0.4269501109461469,0.32098714838223336,0.5428459503784713,0.35787947791935937,0.5030144641447161,2500
398.0,7.0,2019.0,1.2125661271877335,0.42864937204442916,0.42595950988282133,0.31877685329392574,0.5476976394642855,0.3550990496601025,0.5055757871253059,2500
586.0,7.0,2019.0,1.1711181019964858,0.42183027606501255,0.42188460647521564,0.3193338216977433,0.5314342096176675,0.3496645602897939,0.4936830300685824,2500
360.0,7.0,2019.0,1.1024755052046475,0.40986230174618765,0.4104562269545036,0.31142477522697315,0.5130677072268764,0.3423265359655243,0.4770134473424211,2500
422.0,7.0,2019.0,1.075634342669466,0.4064978685786239,0.40418851962784547,0.3072270520750604,0.5119855425567967,0.34126085908293025,0.4750032690405434,2500
498.0,5.0,2007.0,1.0371009501223702,0.4000888998312392,0.39778164420298256,0.30144563286249343,0.5040576187405658,0.33547274556689977,0.46765801240016236,2500
807.0,7.0,2019.0,0.9921431130422539,0.3907753364819723,0.38991586303322523,0.2980720809675882,0.49092085244613315,0.32804729461281035,0.45336577217379914,2500
320.0,7.0,2019.0,0.9089781150049355,0.3761798888892764,0.37525076042987826,0.29260602370852673,0.46963802878071165,0.32145138869108003,0.4354313564398249,2500
268.0,7.0,2019.0,0.881343094050776,0.37200194689974075,0.37025887107046984,0.2889251187079328,0.4630642153611982,0.31390859600530147,0.4334762352498958,2500
400.0,7.0,2019.0,0.8706894193367769,0.3710539102727636,0.36843519875991126,0.28749460212582856,0.46659539282835616,0.31332929799923137,0.4295919823703611,2500
458.0,7.0,2019.0,0.8726505084346584,0.3707288304606122,0.369361580666641,0.28832944425853085,0.45997404117391183,0.31419300483366125,0.4278347933541514,2500
434.0,7.0,2019.0,0.830781734579344,0.36306302935356377,0.3609847697562908,0.27989070410479266,0.45102884101521284,0.30587433208169934,0.4216143607891423,2500
76.0,7.0,2019.0,0.817417298907636,0.35997809593266966,0.35739373007686215,0.2796303171823731,0.4511189337542251,0.30536072269485753,0.41755616182357513,2500
604.0,7.0,2019.0,0.7755972558017348,0.3537072859113443,0.3517075371781857,0.2788789542867427,0.4418737394531536,0.30049276702705674,0.41036326644704624,2500
410.0,7.0,2019.0,0.7670325798888947,0.35345438845515453,0.35324793545754013,0.2684477292956428,0.4361476506741591,0.29994328592338754,0.40684528108803764,2500
642.0,7.0,2019.0,0.7335845620645985,0.34782688062619366,0.3477018985095466,0.2686956203867218,0.4305304880038953,0.2942555366784151,0.4005961136679182,2500
356.0,7.0,2019.0,0.6942647526929502,0.34158799909350285,0.339948358411887,0.26742311797435875,0.42799437883045266,0.2897123871208382,0.3941343023671232,2500
499.0,7.0,2019.0,0.7035970622249728,0.34065686920569244,0.33943472676800596,0.2684289636992479,0.4232783069412132,0.2904022067921946,0.3912973142986632,2500
404.0,7.0,2019.0,0.6510059052166458,0.33334198265317533,0.3327054079814346,0.25817876601028567,0.41503865672835,0.2827570204464156,0.3838580881041023,2500
156.0,7.0,2019.0,0.6407017392843344,0.3313319707871111,0.33040657937186446,0.25808388454400794,0.4087222422013039,0.28074250499766895,0.3830776594366029,2500
688.0,7.0,2019.0,0.6180687467501489,0.328520681670978,0.32699889215341826,0.25915621029974095,0.4108484344946854,0.2795745723398016,0.3802142454289231,2500
218.0,7.0,2019.0,0.6182936530109568,0.32759864938871247,0.3259075554755981,0.25547129170716476,0.4079479065159057,0.27739305599254566,0.3796425337090772,2500
643.0,7.0,2019.0,0.5788921065699624,0.3231526978992177,0.3213356607912278,0.2510403946427178,0.4044686090441969,0.27321115872165397,0.3738804336057502,2500
804.0,7.0,2019.0,0.5337254237645123,0.31707270607182114,0.31460645155995043,0.245074860144623,0.4022449281977366,0.2673446635963666,0.3696425580423965,2500
170.0,7.0,2019.0,0.49386047797859567,0.30918819400963515,0.3075685609318616,0.2408378566004807,0.3859251551643389,0.2628867055932967,0.3581431886035134,2500
446.0,7.0,2019.0,0.45602968948356765,0.30363622423078507,0.3031332947473557,0.2366628036214755,0.37830595071092216,0.2577676279300707,0.3492678912587735,2500
112.0,7.0,2019.0,0.42770986194432065,0.30065913287001095,0.2999175364118454,0.23035765189008206,0.37667742391175785,0.2552766585411091,0.34791798473760976,2500
792.0,6.0,2013.0,0.3984309764418562,0.2937901874126786,0.2920172479351085,0.22860189317632895,0.3653571992108766,0.24978345561594623,0.3411533357886809,2500
462.0,7.0,2019.0,0.38244942640573165,0.2914409559456176,0.2895357239293863,0.22388561847678642,0.3676296001691381,0.24781430865653356,0.33754630667329655,2500
566.0,7.0,2019.0,0.36630526640125965,0.2904946674782396,0.2883163841624369,0.22371882571388113,0.3653317264623482,0.24530007003757265,0.33746993110564993,2500
158.0,7.0,2019.0,0.30480331548364725,0.2821956435442342,0.2807498799057381,0.21867998306484773,0.3556549867782389,0.2379014522700757,0.3286611502017401,2500
275.0,6.0,2013.0,0.2689828511279718,0.27600658992399374,0.27481703515199446,0.21252764335586827,0.3457925243424576,0.23227942494081244,0.3207803786741534,2500
800.0,4.0,2001.0,0.2610152640427269,0.2756271398954613,0.27441422582787306,0.21106824278476907,0.350036852944998,0.23083775050877112,0.3228176318781353,2500
504.0,7.0,2019.0,0.224596184075059,0.27056581646703737,0.26910259202860354,0.20621160962275897,0.3446597329322297,0.22569000926819494,0.31703482903663727,2500
788.0,7.0,2019.0,0.21161621740811223,0.26905945645956614,0.26716127811399126,0.20423747977907417,0.34507030708214914,0.2254337997473406,0.31387758896839213,2500
364.0,7.0,2019.0,0.19266074616026044,0.26603103247959287,0.2652245345833964,0.2020801622562263,0.33515648923046804,0.22299172346527182,0.3105069341579496,2500
31.0,7.0,2019.0,0.17467906269576466,0.26309443678226985,0.2617124229263313,0.1985113575910963,0.33810387142887627,0.21851304006266772,0.3096156959760351,2500
152.0,7.0,2019.0,0.18029156420653883,0.2625595179890819,0.2606830548219448,0.19696243293772633,0.33442701811311687,0.2177865994258168,0.3076766416264453,2500
414.0,6.0,2013.0,0.14850149230568005,0.25997101619208035,0.2574495769696283,0.1952084801835459,0.3359961212402294,0.21734802851879792,0.3058219687460403,2500
68.0,7.0,2019.0,0.1334228870656125,0.2596617267720415,0.2581207634992032,0.19558246570985638,0.3330479751613927,0.2153210857566938,0.305541757074719,2500
558.0,7.0,2019.0,0.14408895960984686,0.2584798864489517,0.25695351799920363,0.1958980944016747,0.3289165775863731,0.21599874876362413,0.30403139938429774,2500
854.0,5.0,2007.0,0.11414115601654448,0.2547410761768909,0.25169264737365343,0.19366623815777836,0.3306841470275744,0.2112051572332717,0.3024516297545803,2500
70.0,7.0,2019.0,0.11837686955463488,0.25444292926550816,0.25234363948553906,0.19451623108625962,0.3269354543622176,0.2112951168222903,0.3000919626862116,2500
862.0,7.0,2019.0,0.07621393333703495,0.24996775864907075,0.2474702805368133,0.18846430590231505,0.3248684332662488,0.20703107070268587,0.29574578616403024,2500
646.0,6.0,2013.0,0.006380044345613907,0.2417192523058443,0.2393093720829758,0.17852240845933146,0.31490924853376995,0.19943422356011312,0.28648900902080865,2500
818.0,5.0,2007.0,0.0009691974503533981,0.24151795591798714,0.2394197563396454,0.1778506728026169,0.31659193184002093,0.19757996950032505,0.2879365236746034,2500
100.0,7.0,2019.0,-0.06436043249092532,0.23306751129482187,0.2315175560190118,0.1684710845125976,0.30676852220194134,0.18890257883567463,0.2798172263539851,2500
440.0,7.0,2019.0,-0.08094378183641003,0.23073229137772355,0.22794789208503907,0.17073211508411018,0.30471836704045907,0.18699395731832924,0.2775302027763676,2500
344.0,7.0,2019.0,-0.09806619281403431,0.2276403314409335,0.22543520213556362,0.1626319328177017,0.298008160700262,0.18373945531569696,0.27332182783706316,2500
858.0,7.0,2019.0,-0.15187767083495535,0.22151428414275975,0.21959463444499205,0.16051689554194667,0.2951409338590947,0.17846386054158508,0.2672686099775622,2500
32.0,7.0,2019.0,-0.22148610173049432,0.21254538311373977,0.21133438754875816,0.14942567798580433,0.28876149429916553,0.16789765459886694,0.2596032726818132,2500
840.0,7.0,2019.0,-0.28179211045909647,0.20732843973153095,0.2047147726379988,0.1463880170884334,0.2823975491826142,0.16381546945307596,0.253698878995127,2500
191.0,7.0,2019.0,-0.32691869589719585,0.20294808377745058,0.2004347166054289,0.14065858871826992,0.28050478327779194,0.15982705381446238,0.2493430005378292,2500
630.0,7.0,2019.0,-0.3531302182910968,0.1987834823748717,0.195889180524987,0.13578729762293254,0.279015919271491,0.1545370216176049,0.2468434919599508,2500
428.0,7.0,2019.0,-0.3517864998657308,0.1987808694685907,0.19637169782420621,0.13702792457979412,0.27338030892871196,0.15310773300919586,0.2468072457087719,2500
332.0,6.0,2013.0,-0.3627843863169723,0.19771195051175128,0.19512760966004483,0.13645138378539617,0.2729917099449408,0.15509673344496086,0.24404486216313448,2500
894.0,5.0,2007.0,-0.3832876857154509,0.19586260681151088,0.19316443312363168,0.13117130632655757,0.27452151257149754,0.15225779617683138,0.24440568460035586,2500
50.0,7.0,2019.0,-0.42331175934943094,0.19291790180466878,0.1898991414064421,0.1280762172299136,0.273692617946646,0.14689102501613216,0.24179642053734113,2500
231.0,7.0,2019.0,-0.43181649691126406,0.19026782438631804,0.18667128639747166,0.12839409407478422,0.2675010465969311,0.1461931857867385,0.23777293371390412,2500
716.0,7.0,2019.0,-0.4584563625839442,0.18787120583242736,0.18443629779518406,0.12312879370226852,0.270804856687846,0.14289821901052793,0.23629170153730472,2500
203.0,7.0,2019.0,-0.4571851191681102,0.1873859551502611,0.18441977088165068,0.1257100700656775,0.26346583817921215,0.1429898957502375,0.23480604854277018,2500
887.0,6.0,2013.0,-0.48987625682973984,0.18590726264671734,0.18270109152710073,0.12142035499863095,0.26572879730117943,0.1403063661108641,0.2359460329337816,2500
703.0,7.0,2019.0,-0.5267333711679034,0.1827116617485667,0.17918595606643856,0.12012382583174515,0.2633622099946659,0.13696391382057632,0.23401496575790065,2500
702.0,7.0,2019.0,-0.5192249939991749,0.18222891397170296,0.17906539828892676,0.12008039558751231,0.26048415206572895,0.13772615762064616,0.2311240118066335,2500
616.0,7.0,2019.0,-0.6084323170040762,0.17389716639478356,0.17242538933911183,0.10939089363129245,0.25146943015165907,0.12695739589879718,0.22244311171891126,2500
705.0,7.0,2019.0,-0.8114839042784114,0.15570201950601414,0.15158654012550155,0.09400525747332478,0.23690480647972087,0.11026570530711187,0.20551571062527127,2500
12.0,6.0,2013.0,-0.8569041931143402,0.15101636684167544,0.1480210608233256,0.08811818573215684,0.23698255987345587,0.1057036502488353,0.20012208881442015,2500
36.0,7.0,2019.0,-0.8643006173187016,0.15075519165125925,0.14683686749248337,0.08895316150399095,0.23520846121477904,0.10561625518475612,0.20153971139423402,2500
250.0,7.0,2019.0,-0.9146530149541735,0.14835695463336673,0.14361177390258661,0.08455436077723959,0.23782814871397814,0.10247861740410996,0.20056487369543158,2500
124.0,7.0,2019.0,-0.9155930817987921,0.14689714342081026,0.1432532174218381,0.08559651394738103,0.23150794215067683,0.1014425014234669,0.19620599889837956,2500
196.0,7.0,2019.0,-1.0128166521200441,0.1381707792060246,0.13516301369685585,0.07790731109954306,0.2211182077673287,0.09297113183239794,0.18652045504459858,2500
392.0,7.0,2019.0,-1.051733727931696,0.13679904640357948,0.13255457512404883,0.07554222733439019,0.22101715593639532,0.09104919403450029,0.18859222615022855,2500
348.0,7.0,2019.0,-1.0641489087614473,0.13585710911270243,0.13200774309462565,0.07483694333414731,0.22374818237246502,0.09020864393746655,0.18498265717675194,2500
909.0,7.0,2019.0,-1.0791548866064284,0.13501156062700898,0.13018258572696773,0.0731887038323708,0.22163258929229032,0.09090098144492312,0.1875295713571228,2500
380.0,7.0,2019.0,-1.091962969288529,0.13294990924751515,0.12812639809058857,0.0709915703237522,0.22541872278254266,0.08861816030589435,0.18388614712951576,2500
826.0,7.0,2019.0,-1.1073734589419553,0.1323141015041824,0.12767831063395552,0.0707571274065858,0.22190316285010983,0.08797930019113874,0.18395837197834267,2500
528.0,7.0,2019.0,-1.116299846095836,0.13123432235835725,0.12682766920035193,0.0725183584471145,0.21645086850721995,0.08676121651275086,0.18104822631216155,2500
214.0,3.0,1997.0,-1.1657537322005724,0.1269442767739226,0.12233780767133212,0.06870821317787028,0.21069984598789232,0.08287266407816823,0.17631747876989254,2500
246.0,7.0,2019.0,-1.194509997012605,0.12556258959457128,0.1196887393531742,0.06637285887073872,0.2129355153282195,0.08197744389376697,0.17670586824373696,2500
233.0,7.0,2019.0,-1.190888441404278,0.12550808728824064,0.12142114742306592,0.06470655301428957,0.21091177988106938,0.0818915623596346,0.1746971262219278,2500
724.0,7.0,2019.0,-1.224667446911118,0.12403125898316407,0.1192030415845412,0.06447714545546432,0.20797253917771877,0.07976356022191647,0.17448054077355352,2500
834.0,4.0,2001.0,-1.3155333038978225,0.11650883926299811,0.11172160036506323,0.059065554936379966,0.20539008225684052,0.07352922257087821,0.16569807111349108,2500
780.0,6.0,2013.0,-1.3329510317135005,0.11561308595578275,0.11073184682720572,0.057165540936774846,0.20432274966880387,0.07357003992544241,0.16447899954464199,2500
8.0,7.0,2019.0,-1.4110710690805068,0.11346655265640081,0.1079892406143435,0.054440584273373886,0.20236420467312047,0.07001346762863313,0.16446397023781065,2500
756.0,7.0,2019.0,-1.4112712073291713,0.11286680307708086,0.10741431870241153,0.0528682810645972,0.2020836339954604,0.06907271717779723,0.1630146566784488,2500
20.0,7.0,2019.0,-1.4056135144535513,0.11192972388698852,0.10624440019241921,0.05492730353952449,0.19817498757929297,0.0688384720451886,0.16170156779750325,2500
752.0,7.0,2019.0,-1.598517074795328,0.09898300685981021,0.09368040534394173,0.04364119369633836,0.1875406008532671,0.058556933142310065,0.14693133606419906,2500
554.0,7.0,2019.0,-1.6300254074223268,0.0985685685702688,0.09266389521043067,0.04416246380692054,0.18315214898858373,0.057057193670062754,0.14832158547673086,2500
276.0,7.0,2019.0,-1.7250232994306565,0.09488484796130868,0.0891155250775495,0.040606530793113625,0.1873660969053028,0.053507292549908415,0.1448494521227265,2500
578.0,7.0,2019.0,-1.7564728313196105,0.091982172579479,0.08572550959510394,0.03882827591990748,0.17792468528453176,0.051363010078366335,0.13961694620753293,2500
288.0,6.0,2013.0,-1.816009804408936,0.09039790831300427,0.0840147681890771,0.037253692999537534,0.18343503546993836,0.048405495931720256,0.13980322713887822,2500
300.0,7.0,2019.0,-1.9293184191079027,0.08373128372299993,0.0774390578903737,0.03318152461058052,0.17614973188730623,0.044069952881086914,0.12998999879394538,2500
